21:11:47.665 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@2e005c4b{HTTP/1.1}{0.0.0.0:8081}
21:11:47.665 [main] INFO  org.eclipse.jetty.server.Server - Started @1154ms
21:13:43.741 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @582ms
21:13:43.823 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
21:13:44.120 [main] INFO  /cms - No Spring WebApplicationInitializer types detected on classpath
21:13:44.187 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@491666ad{/cms,file:/D:/JD02-iyatsevich/SOMEMAGIC/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
21:13:44.249 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@3c81281d{HTTP/1.1}{0.0.0.0:8081}
21:13:44.250 [main] INFO  org.eclipse.jetty.server.Server - Started @1100ms
21:23:52.164 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @645ms
21:23:52.247 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
21:23:52.534 [main] INFO  /cms - No Spring WebApplicationInitializer types detected on classpath
21:23:52.600 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@491666ad{/cms,file:/D:/JD02-iyatsevich/SOMEMAGIC/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
21:23:52.654 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@2e005c4b{HTTP/1.1}{0.0.0.0:8081}
21:23:52.654 [main] INFO  org.eclipse.jetty.server.Server - Started @1142ms
21:28:35.973 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @573ms
21:28:36.062 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
21:28:36.352 [main] INFO  /cms - No Spring WebApplicationInitializer types detected on classpath
21:28:36.419 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@491666ad{/cms,file:/D:/JD02-iyatsevich/SOMEMAGIC/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
21:28:36.475 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@2e005c4b{HTTP/1.1}{0.0.0.0:8081}
21:28:36.475 [main] INFO  org.eclipse.jetty.server.Server - Started @1081ms
